industry_id,as_of_date,capital_level,capital_velocity,capital_acceleration,orders_velocity,backlog_acceleration,capacity_tightness,hiring_velocity,innovation_velocity,official_activity,breadth,persistence,macro_fit,supply_chain_spillover,supply_chain_breadth,market_attention,price_momentum,valuation_heat,valuation_attractiveness,valuation_data_confidence,supply_overbuild_risk,policy_dependency_risk,source_coverage,freshness_score,source_reliability
AI_COMPUTE,2026-08-04,88.71,76.52,31.9,50.0,,56.84,53.8,,76.5,66.67,66.67,64.85,,,52.3,92.83,80.0,20.0,60.0,27.75,,76.19,92.0,94.0
AI_DATA_INFRA,2026-08-04,86.92,42.98,54.13,,,69.18,46.78,,76.5,33.33,0.0,64.85,50.56,32.97,52.3,86.17,44.96,55.04,100.0,0.0,,80.95,92.0,94.0
SEMICONDUCTOR_EQUIPMENT,2026-08-04,,5.59,0.0,26.89,,,50.32,,80.38,0.0,0.0,70.68,52.49,55.07,80.88,58.37,80.0,20.0,60.0,,,71.43,92.0,94.0
ADVANCED_PACKAGING,2026-08-04,,46.91,15.82,81.76,,,55.11,,80.38,50.0,25.0,70.68,50.56,32.97,59.67,75.19,78.03,21.97,60.0,,,71.43,92.0,94.0
DATACENTER_POWER_COOLING,2026-08-04,,87.58,69.09,50.0,,,54.34,,80.38,75.0,50.0,70.68,53.3,55.07,38.9,79.83,33.55,66.45,60.0,,,71.43,92.0,94.0
POWER_GRID,2026-08-04,30.63,87.58,24.44,57.44,,46.19,54.15,,76.85,100.0,75.0,70.3,51.45,86.47,50.2,64.01,66.36,33.644999999999996,60.0,44.84,,85.71,92.0,94.0
NUCLEAR_SMR,2026-08-04,28.72,45.41,26.94,62.03,,56.62,49.76,,76.85,50.0,50.0,70.3,,,28.66,41.97,50.06,49.94,60.0,0.0,,76.19,92.0,94.0
ENERGY_STORAGE,2026-08-04,100.0,23.77,3.1,76.85,,44.4,47.81,,80.38,25.0,0.0,70.68,52.66,90.93,40.61,35.96,45.95,54.055,60.0,7.48,,85.71,92.0,94.0
ROBOTICS,2026-08-04,,98.39,95.6,20.86,,,59.79,,76.5,75.0,50.0,64.85,54.15,55.07,42.16,40.31,80.0,20.0,60.0,,,71.43,92.0,94.0
INDUSTRIAL_AUTOMATION,2026-08-04,,83.75,87.85,50.0,,,53.26,,80.38,66.67,50.0,70.68,59.2,55.07,41.7,34.04,32.12,67.88,60.0,,,71.43,92.0,94.0
AUTONOMOUS_SENSORS,2026-08-04,29.41,28.6,68.48,,,52.67,47.7,,76.5,33.33,0.0,64.85,57.65,69.88,61.09,67.53,30.8,69.2,100.0,0.0,,80.95,92.0,94.0
SPACE_SATELLITE,2026-08-04,,62.21,2.46,79.34,,,54.44,,76.85,100.0,50.0,70.3,,,24.89,30.48,36.19,63.815,60.0,,,61.9,92.0,94.0
DEFENSE_DRONES,2026-08-04,,51.64,2.46,83.63,,,54.76,,76.85,100.0,50.0,70.3,55.78,32.97,33.25,46.86,58.52,41.480000000000004,60.0,,,71.43,92.0,94.0
CYBERSECURITY,2026-08-04,,27.03,42.89,,,,49.29,,76.5,0.0,33.33,64.85,63.85,69.88,42.72,57.78,30.8,69.2,60.0,,,66.67,92.0,94.0
BIO_MANUFACTURING,2026-08-04,29.94,46.94,44.19,73.11,,65.61,58.68,,76.5,100.0,50.0,64.85,83.73,32.97,47.75,39.69,43.9,56.105,60.0,0.0,,85.71,92.0,94.0
MEDICAL_DEVICES,2026-08-04,,91.56,93.23,,,,50.19,,76.5,66.67,66.67,64.85,59.6,32.97,37.91,35.78,30.8,69.2,60.0,,,66.67,92.0,94.0
QUANTUM_TECH,2026-08-04,84.89,97.65,99.17,,,65.37,46.78,,76.5,33.33,50.0,64.85,,,58.4,72.67,30.8,69.2,100.0,84.32,,71.43,92.0,94.0
ADVANCED_MATERIALS,2026-08-04,97.31,31.2,25.08,99.75,,50.43,47.15,,80.38,0.0,0.0,70.68,49.71,98.17,36.96,50.14,32.52,67.485,60.0,0.0,,85.71,92.0,94.0
CRITICAL_MINERALS,2026-08-04,,31.34,4.98,99.75,,,49.43,,81.03,0.0,0.0,71.93,,,35.95,49.37,30.8,69.2,60.0,,,61.9,92.0,94.0
WATER_INFRA,2026-08-04,23.35,67.61,23.9,63.91,,41.79,41.21,,76.85,33.33,33.33,70.3,48.58,55.07,70.53,94.74,29.63,70.37,100.0,36.96,,85.71,92.0,94.0
CLIMATE_ADAPTATION,2026-08-04,23.35,44.2,27.08,67.86,,50.44,42.38,,76.85,25.0,25.0,70.3,48.4,55.07,46.48,94.29,30.22,69.785,80.0,0.0,,85.71,92.0,94.0
LOGISTICS_AUTOMATION,2026-08-04,,89.39,97.27,52.08,,,51.9,,80.38,50.0,0.0,70.68,61.94,69.88,33.07,25.17,30.8,69.2,30.0,,,71.43,92.0,94.0
CONSTRUCTION_TECH,2026-08-04,23.35,44.2,27.08,67.86,,50.44,42.38,,80.38,25.0,25.0,70.68,,,46.48,94.29,30.22,69.785,80.0,0.0,,76.19,92.0,94.0
